1582,7
834,49
215,72
638,75
983,6
914,21
1325,47
234,42
126,16
1027,21
468,36
1483,35
168,36
177,13
1006,16
352,62
1139,53
58,60
346,9
480,12
1131,63
490,38
233,3
603,14
101,32
1351,9
1948,70
768,70
359,7
1751,49
1763,70
1546,69
1225,54
612,9
1858,46
796,34
1439,25
1247,41
234,8
1337,38
627,3
166,15
908,17
373,35
1596,57
95,26
1631,60
251,62
1479,39
1747,19
558,12
679,30
24,10
1993,30
1629,55
407,65
1521,4
431,79
1273,75
836,56
1563,74
1638,49
1526,39
970,10
1407,54
1460,2
153,77
64,45
1081,45
46,32
1581,74
1988,70
849,68
1867,56
1440,56
869,68
1710,27
665,1
1022,21
1928,67
1035,11
1208,0
618,1
86,55
1857,63
1737,33
1559,23
1009,1
226,31
962,63
197,34
1145,24
157,40
1778,74
1347,41
1321,21
393,72
1114,54
1484,69
1636,73
1426,75
1101,57
1841,24
184,28
1299,53
518,6
1024,11
1720,31
626,43
1761,41
1620,7
1931,76
691,32
30,66
977,13
919,34
1692,5
1963,78
877,62
1807,17
176,38
332,26
95,27
389,15
1858,0
1274,67
1982,3
853,75
922,0
1458,45
1897,22
1971,65
1614,2
1971,14
49,9
340,7
171,18
316,31
283,58
826,55
763,58
1948,73
724,61
755,5
863,45
1767,46
648,10
255,56
380,23
954,51
370,69
180,22
701,62
1874,44
1440,62
1016,55
1914,59
1324,34
716,46
974,43
1705,5
1224,55
862,5
1757,68
1584,78
158,32
1348,38
495,57
1076,25
641,44
1909,67
1210,10
1768,13
1378,61
1640,74
1105,56
1783,77
1829,52
424,9
1229,61
95,11
1352,69
1560,68
682,37
1341,25
678,67
522,43
458,65
1005,29
946,39
947,36
1996,63
1706,63
611,25
1030,76
925,20
1598,64
1860,19
143,79
1289,32
990,3
31,8
1307,55
376,24
455,1
548,76
223,5
1468,32
1338,39
659,6
360,54
1497,61
1820,10
1654,37
339,44
651,47
1477,45
1012,23
313,51
42,63
680,34
1194,67
378,25
107,11
1111,10
1140,42
706,41
1915,44
749,6
205,40
1368,5
399,69
1172,34
1709,17
1100,10
1553,23
1307,24
1366,71
689,22
1259,14
1890,7
483,30
1828,56
794,76
1684,42
251,40
1922,12
1683,3
433,0
144,21
634,73
1994,69
530,25
1750,17
1626,14
302,59
459,36
560,32
281,3
1240,69
1935,0
236,27
1074,10
162,45
1757,48
1693,57
1759,1
1235,22
1532,36
1648,42
1198,78
515,50
374,68
1119,8
1052,31
934,11
13,23
931,21
1223,14
644,55
1797,71
798,24
898,74
1565,74
1161,8
581,11
1057,4
307,68
275,46
1680,43
1968,32
1111,19
1883,14
332,12
1525,30
1373,19
225,62
450,9
1666,16
1522,22
1869,66
1674,75
728,74
1035,49
1085,34
1445,59
1168,6
812,6
620,7
199,50
757,44
333,47
1720,75
584,33
142,35
1727,47
1465,11
157,26
239,59
1251,63
1099,44
1488,42
1801,28
1381,11
1540,54
1830,52
971,17
1023,29
1901,38
231,34
1650,42
1483,72
1657,21
117,78
1299,75
1866,32
17,54
1643,75
172,9
769,72
1193,71
1141,26
1153,9
1909,33
1021,47
314,44
483,48
1868,36
840,50
1218,77
773,6
60,9
648,46
1625,44
103,44
357,71
97,51
1295,35
1144,22
1614,67
1576,28
1031,45
245,54
1721,15
1915,24
1154,60
319,12
144,35
668,75
1789,73
881,23
1724,18
53,24
1334,3
1717,72
501,23
1699,62
928,60
1327,35
1774,53
808,55
1905,42
1903,61
359,38
